agg_id,x,y,ecoregion,year,spei.90d,spei.180d,spei.270d,diff_shallow,diff_dswe,diff_spei,diff_rangeT
1,425064,5203593,16,2022,2.0278878211975098,1.4500000476837158,2.0899999141693115,1.8216000273823736,4.41,2.7300000190734863,-2.6620922088623047
2,426564,5203593,16,2022,2.0899999141693115,1.4500000476837158,2.0899999141693115,1.777500033378601,11.88,2.7300000190734863,-2.5999755859375
3,428064,5203593,16,2022,2.0899999141693115,1.4500000476837158,2.0899999141693115,4.194899797439575,11.069999999999991,2.7300000190734863,-2.5999755859375
4,429564,5203593,16,2022,2.0899999141693115,1.4500000476837158,2.0899999141693115,1.0053000450134275,6.93,2.7300000190734863,-2.5999755859375
5,431064,5203593,16,2022,2.0899999141693115,1.4754242897033691,2.0899999141693115,5.5467000007629395,11.7,2.7554242610931396,-2.4669857025146484
6,432564,5203593,16,2022,2.0899999141693115,1.511266827583313,2.0899999141693115,11.023200035095217,19.8,2.7912667989730835,-2.279502868652344
7,434064,5203593,16,2022,2.086148738861084,1.54558002948761,2.0899999141693115,11.68019962310791,18.99,2.8255800008773804,-2.1012916564941406
8,435564,5203593,16,2022,1.995886206626892,1.54558002948761,2.0899999141693115,1.810800053179264,5.220000000000001,2.8255800008773804,-2.1311588287353516
9,437064,5203593,4,2022,1.9056237936019895,1.54558002948761,2.0899999141693115,0,1.08,2.8255800008773804,-2.1610240936279297
10,438564,5203593,4,2022,1.883238673210144,1.54558002948761,2.0899999141693115,3.1166999340057373,7.199999999999989,2.8255800008773804,-2.171173095703125
11,440064,5203593,4,2022,1.973501205444336,1.54558002948761,2.0899999141693115,0.6075000166893005,4.32,2.8255800008773804,-2.148591995239258
12,441564,5203593,4,2022,2.0637636184692383,1.54558002948761,2.0899999141693115,0.09629999846220016,7.380000000000003,2.8255800008773804,-2.126014709472656
13,443064,5203593,4,2022,2.0899999141693115,1.5201557874679563,2.0899999141693115,0.13680005073547363,28.44,2.800155758857727,-2.1726551055908203
14,444564,5203593,4,2022,2.0899999141693115,1.4843132495880127,2.0899999141693115,5.323500216007233,21.15,2.764313220977783,-2.247659683227539
15,446064,5203593,4,2022,2.0899999141693115,1.4538400173187256,2.0899999141693115,0,3.870000000000005,2.733839988708496,-2.3220272064208984
16,447564,5203593,4,2022,2.0899999141693115,1.5438400506973269,2.0899999141693115,0.5985000133514404,16.650000000000006,2.823840022087097,-2.3820953369140625
17,449064,5203593,4,2022,2.0899999141693115,1.6338400840759275,2.0899999141693115,0.4643999934196472,3.4200000000000017,2.9138400554656982,-2.4421653747558594
18,450564,5203593,16,2022,2.0899999141693115,1.690000057220459,2.0899999141693115,0,3.69,2.9700000286102295,-2.451448440551758
19,452064,5203593,16,2022,2.0899999141693115,1.690000057220459,2.0899999141693115,1.0484999418258667,5.9399999999999995,2.9700000286102295,-2.3764514923095703
20,453564,5203593,16,2022,2.0899999141693115,1.690000057220459,2.0899999141693115,1.377000018954277,6.48,2.9700000286102295,-2.301454544067383
21,455064,5203593,16,2022,2.0899999141693115,1.7964000701904297,2.0899999141693115,1.226699948310852,8.010000000000002,3.0764000415802,-2.285072326660156
22,456564,5203593,16,2022,2.0899999141693115,1.9463999271392824,2.0899999141693115,2.635200023651123,7.47,3.2263998985290527,-2.2927074432373047
23,458064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.445899963378906,10.62,3.37108314037323,-2.2968177795410156
24,459564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.3633999824523926,8.189999999999998,3.396471619606018,-2.2218151092529297
25,461064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.9089999794960022,7.830000000000001,3.4218599796295166,-2.146808624267578
26,462564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.6696000099182129,1.7999999999999994,3.4281563758850098,-2.142305374145508
27,464064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.0872000455856323,4.32,3.4027678966522217,-2.2548065185546875
28,465564,5203593,4,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0,-0.08999999999999986,3.3773794174194336,-2.367307662963867
29,467064,5203593,4,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0,9.089999999999996,3.3972110748291016,-2.410606384277344
30,468564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.1169999986886978,0.6299999999999999,3.435572624206543,-2.425546646118164
31,470064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.5048999786376953,-16.38,3.4749099016189575,-2.440814971923828
32,471564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.7036999464035034,-0.9900000000000002,3.5361409187316895,-2.4633712768554688
33,473064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.742400050163269,8.370000000000005,3.597371816635132,-2.485925674438477
34,474564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.1574999988079071,-8.549999999999997,3.678404450416565,-2.533937454223633
35,476064,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.414900004863739,5.489999999999995,3.792299509048462,-2.6242008209228516
36,477564,5203593,16,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.4706999957561493,0.9899999999999992,3.90619444847107,-2.7144603729248047
37,479064,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.9835999011993408,0.11159999668598176,6.569999999999993,3.858510375022888,-2.650308609008789
38,480564,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.8336000442504885,0.7190999984741211,3.510000000000005,3.7446154356002808,-2.5228824615478516
39,482064,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.5120999813079834,-2.520000000000003,3.640439510345459,-2.407604217529297
40,483564,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.17009998857975006,9.27,3.7543344497680664,-2.5648975372314453
41,485064,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.1934999972581863,0.720000000000006,3.868229389190674,-2.722188949584961
42,486564,5203593,16,2022,2.0899999141693115,2.0675387382507324,1.6561599969863892,0,-6.93,3.950777411460877,-2.862642288208008
43,488064,5203593,16,2022,2.0899999141693115,2.007801055908203,1.5661600828170776,0.6974999904632568,5.579999999999998,3.981302261352539,-2.975147247314453
44,489564,5203593,16,2022,2.0899999141693115,1.948063611984253,1.4761600494384766,-0.1907999962568283,-0.8999999999999915,4.011827230453491,-3.087656021118164
45,491064,5203593,16,2022,2.0899999141693115,1.9730737209320068,1.5138400793075562,1.7108999490737915,6.48,4.063073635101318,-3.1789703369140625
46,492564,5203593,16,2022,2.0899999141693115,2.032811164855957,1.6038401126861572,0.24480000138282776,6.11999999999999,4.1228110790252686,-3.261598587036133
47,494064,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.35910001397132874,4.050000000000004,4.179999828338623,-3.3541393280029297
48,495564,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,1.1511000394821167,17.64,4.179999828338623,-3.6690826416015625
49,497064,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.00360000133514404,5.4,4.179999828338623,-3.9840240478515625
50,498564,5203593,16,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0,-1.26,4.179999828338623,-4.183292388916016
51,500064,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.6434999704360962,5.4,4.179999828338623,-4.190589904785156
52,501564,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,1.1871000528335571,3.5999999999999996,4.179999828338623,-4.19788932800293
53,503064,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,1.9062000513076784,-1.17,4.179999828338623,-4.242853164672852
54,504564,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.690000057220459,0.02970000356435775,-4.95,4.179999828338623,-4.303247451782227
55,506064,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.6964000463485718,3.169800043106079,1.62,4.179999828338623,-4.36457633972168
56,507564,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.846400022506714,6.304500102996826,19.89,4.179999828338623,-4.446876525878906
57,509064,5203593,6,2022,2.0899999141693115,2.0899999141693115,1.996399998664856,0.5364000201225281,21.42,4.179999828338623,-4.5291748046875
58,510564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,4.71150016784668,80.55,4.179999828338623,-4.583396911621094
59,512064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,3.1679998636245728,10.26,4.179999828338623,-4.591022491455078
60,513564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,7.482600212097168,18.09,4.179999828338623,-4.59864616394043
61,515064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,16.21980094909668,27,4.179999828338623,-4.680665969848633
62,516564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.789099931716919,6.48,4.179999828338623,-4.79316520690918
63,518064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.765700101852417,5.22,4.179999828338623,-4.904054641723633
64,519564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,10.267200469970703,22.32,4.179999828338623,-4.978727340698242
65,521064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,7.47629976272583,14.4,4.179999828338623,-5.053400039672852
66,522564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.799100041389465,3.69,4.179999828338623,-5.114219665527344
67,524064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,13.34880018234253,50.22,4.179999828338623,-5.152055740356445
68,525564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,6.504299879074097,42.75,4.179999828338623,-5.189889907836914
69,527064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,35.734500885009766,46.62,4.179999828338623,-5.174053192138672
70,528564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,28.70999974012375,37.71,4.179999828338623,-5.136222839355469
71,530064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,17.138700902462006,42.48,4.179999828338623,-5.104806900024414
72,531564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.944999933242798,10.079999999999998,4.179999828338623,-5.217308044433594
73,533064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.446199893951416,2.9700000000000006,4.179999828338623,-5.329811096191406
74,534564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,6.31440007686615,10.8,4.179999828338623,-5.394397735595703
75,536064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,12.546900309622288,12.420000000000002,4.179999828338623,-5.379461288452148
76,537564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,11.490299820899963,20.25,4.179999828338623,-5.364526748657227
77,539064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,3.041100025177002,6.390000000000001,4.179999828338623,-5.3067474365234375
78,540564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.232900023460388,5.219999999999999,4.179999828338623,-5.231416702270508
79,542064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.67629998922348,13.410000000000004,4.179999828338623,-5.158349990844727
80,543564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.6829999685287476,14.670000000000002,4.179999828338623,-5.136114120483398
81,545064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,4.87529993057251,4.86,4.179999828338623,-5.113880157470703
82,546564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,11.191499710083008,10.980000000000004,4.179999828338623,-5.085905075073242
83,548064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,9.002699851989746,11.520000000000003,4.179999828338623,-5.048397064208984
84,549564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,8.725500032305717,16.380000000000003,4.179999828338623,-5.010890960693359
85,551064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,10.625400483608246,17.82,4.179999828338623,-4.941375732421875
86,552564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.6642000153660774,-84.42,4.179999828338623,-4.858743667602539
87,554064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.105700008571148,11.61,4.179999828338623,-4.788600921630859
88,555564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,9.88109994214028,13.14,4.179999828338623,-4.998666763305664
89,557064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,7.678800143301487,6.3,4.179999828338623,-5.208734512329102
90,558564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,10.528200149536133,16.830000000000002,4.179999828338623,-5.353916168212891
91,560064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,10.363499641418455,15.75,4.179999828338623,-5.39141845703125
92,561564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,18.656999588012695,21.69,4.179999828338623,-5.428920745849609
93,563064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,12.068999543786047,29.610000000000003,4.179999828338623,-5.450420379638672
94,564564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.0085002183914185,14.760000000000002,4.179999828338623,-5.465362548828125
95,566064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,3.0383999347686768,3.24,4.179999828338623,-5.47679328918457
96,567564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.1528000831604004,3.6,4.179999828338623,-5.409423828125
97,569064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.9684000015258788,7.020000000000001,4.179999828338623,-5.3420562744140625
98,570564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.3573000133037567,10.170000000000002,4.179999828338623,-5.342321395874023
99,572064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.8514000177383423,1.35,4.179999828338623,-5.454828262329102
100,573564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.9818999767303468,4.23,4.179999828338623,-5.56733512878418
101,575064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,13.9761004447937,20.25,4.073599815368652,-5.520231246948242
102,576564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,17.71649932861328,31.410000000000004,3.9235999584198,-5.407724380493164
103,578064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,26.855100214481354,82.89,3.7761600017547607,-5.301618576049805
104,579564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,17.497800886631012,84.06,3.68615996837616,-5.339109420776367
105,581064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,11.612700462341309,21.15,3.5961599349975586,-5.37660026550293
106,582564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.9179000705480576,15.930000000000003,3.573840022087097,-5.287195205688477
107,584064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,-0.02700001001358032,-0.7199999999999998,3.6638399362564087,-4.987199783325195
108,585564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.09449999779462814,-0.45,3.7538399696350098,-4.687204360961914
109,587064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0,-4.140000000000001,3.71615993976593,-4.440404891967773
110,588564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0,-1.35,3.626159906387329,-4.215402603149414
111,590064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.2799000144004822,1.71,3.5399999618530273,-3.988800048828125
112,591564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.1744000911712646,4.86,3.5399999618530273,-3.7262954711914063
113,593064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,1.0944000482559204,3.33,3.5399999618530273,-3.4637908935546875
114,594564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.2879999876022339,0.27,3.5399999618530273,-3.2294883728027344
115,596064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.132699966430664,24.57,3.5399999618530273,-3.0419883728027344
116,597564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,2.500200033187866,19.53,3.5399999618530273,-2.8544883728027344
117,599064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,14.363100051879885,29.25,3.5399999618530273,-2.560598373413086
118,600564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,0.9909000396728516,31.680000000000003,3.5399999618530273,-2.223112106323242
119,602064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,6.601500034332275,70.02,3.5399999618530273,-1.9032249450683592
120,603564,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,5.573699951171875,6.57,3.5399999618530273,-1.9782180786132813
121,605064,5203593,6,2022,2.0899999141693115,2.0899999141693115,2.0899999141693115,16.66080093383789,29.61,3.5399999618530273,-2.053211212158203
