spc_id,year,spc_type,selected_by,test_col,x,y,P.Sgreen,P.Snir,P.Snir.rg,N_savg,N_ctr,ovlp.area,dswe.area,elev.abv,postOcc,preOcc,dsweSept7
1168520,2021,dry,annotated,0,546945,5136615,0.06694199829101563,0.11842099609375,1.1825848780870435e-5,95.19078063964844,163.15463256835938,0,1800,-0.003326416015625,0.190476194024086,0.3333333432674408,5
1168512,2021,dry,annotated,0,546945,5135955,0.07116900024414062,0.1179449951171875,1.177491452217102e-5,122.48580932617188,76.99290466308594,900,9900,-0.031005859375,0.3846153914928436,0.3333333432674408,5
1168574,2021,dry,annotated,0,547005,5135925,0.06715900268554688,0.1153550048828125,1.151572055220604e-5,140.9751739501953,87.868988037109375,900,9900,-0.003082275390625,0.1538461595773697,0.3333333432674408,5
1168967,2021,dry,annotated,0,547185,5134815,0.10512099609375,0.216152001953125,2.159278176784515e-5,113.3383331298828,51.91514205932617,900,63900,-0.2530517578125,0,0,5
1169054,2021,em_veg,annotated,0,547245,5134755,0.06266500244140626,0.11743299560546876,1.1722501990795136e-5,86.0080795288086,108.58618927001952,900,63900,0.196868896484375,0.4583333432674408,0.3333333432674408,4
1169210,2021,em_veg,annotated,0,547275,5134875,0.07142899780273437,0.14371600341796875,1.4349524030685426e-5,130.13851928710938,142.54344177246094,900,63900,0.196868896484375,0.40740740299224854,1,5
1168742,2021,em_veg,random_draw,0,547095,5134455,0.072747998046875,0.1458530029296875,1.4563471963405607e-5,147.8569793701172,55.025333404541016,0,65700,-0.24639892578125,0,0,5
1168909,2021,em_veg,random_draw,0,547155,5134305,0.074702001953125,0.14145799560546876,1.4125985461473464e-5,90.25645446777344,23.939313888549805,0,65700,-0.600128173828125,0,0,5
1169102,2021,em_veg,random_draw,0,547245,5134365,0.05062799987792969,0.0638219970703125,6.368615897893906e-6,156.49130249023438,27.966073989868164,900,65700,0.04083251953125,0.20000000298023224,1,5
1169186,2021,em_veg,random_draw,0,547275,5134245,0.08473400268554687,0.15693399658203125,1.5674734964370725e-5,116.33413696289064,29.60302734375,900,65700,-0.59246826171875,0,0,5
1169346,2021,em_veg,random_draw,0,547335,5134035,0.05971199951171875,0.1023280029296875,1.0218852212429046e-5,142.07403564453125,48.203243255615234,900,65700,0.0306396484375,0,1,5
1169444,2021,em_veg,random_draw,0,547395,5134305,0.0657260009765625,0.129531005859375,1.2932354204654694e-5,120.4201202392578,62.93167495727539,0,65700,-0.149017333984375,0,0,5
1169526,2021,em_veg,random_draw,0,547425,5134185,0.06565499877929687,0.11763599853515624,1.174580870628357e-5,122.19026184082033,41.7743034362793,900,65700,-0.08428955078125,0,0,5
1169544,2021,em_veg,random_draw,0,547425,5134065,0.074775,0.14473900146484375,1.4455591702461243e-5,116.12467956542967,47.01080703735352,900,65700,-0.2840576171875,0,0.3333333432674408,5
1163197,2021,deep_viz,annotated,0,544365,5124765,0.04257099914550781,0.03140899963378906,5.711763305068016e-6,17.316740036010742,1.8096979856491089,900,694800,0.01995849609380684,1,1,1
1163205,2021,dry,annotated,0,544395,5124285,0.05085599975585937,0.05603400268554687,6.464644877910614e-6,22.07376289367676,17.728225708007813,900,694800,-3.967285155681566e-4,1,1,3
1163318,2021,dry,annotated,0,544425,5124165,0.084125,0.208822998046875,2.085724683523178e-5,139.20953369140625,95.799041748046875,0,694800,-0.36544799804681816,0,0,5
