spc_id,year,spc_type,selected_by,test_col,x,y,dswe.area,dswe.pa,tri,elev.dpt,elev.abv,postOcc,preOcc,dsweSept7,HLS.Sgreen,HLS.Snir,HLS.Sswir1,HLS.Smndwi,HLS.Smndwi.mx
1168520,2021,dry,annotated,0,546945,5136615,1800,0.1,0.02838211134076118,-0.003326416015625,-0.003326416015625,0.190476194024086,0.3333333432674408,5,0.05900000035762787,0.13689999282360077,0.13449999690055847,-0.4918173849582672,-0.2398190051317215
1168512,2021,dry,annotated,0,546945,5135955,9900,0.0484848484848485,0.17217566072940826,0.500732421875,-0.031005859375,0.3846153914928436,0.3333333432674408,5,0.0471000000834465,0.11330000311136246,0.131400004029274,-0.4793741106986999,-0.3027026951313019
1168574,2021,dry,annotated,0,547005,5135925,9900,0.0484848484848485,0.04174024984240532,0.528656005859375,-0.003082275390625,0.1538461595773697,0.3333333432674408,5,0.03620000183582306,0.07235000282526016,0.11114999651908876,-0.5076727271080017,-0.327531635761261
1168967,2021,dry,annotated,0,547185,5134815,63900,0.0244131455399061,0.29050299525260925,1.989105224609375,-0.2530517578125,0,0,5,0.10289999842643738,0.22779999673366547,0.3194499909877777,-0.5152100920677185,-0.4902290403842926
1169054,2021,em_veg,annotated,0,547245,5134755,63900,0.0244131455399061,0,2.43902587890625,0.196868896484375,0.4583333432674408,0.3333333432674408,4,0.05045000091195106,0.09380000084638596,0.1026500016450882,-0.380001038312912,-0.2541857063770294
1169210,2021,em_veg,annotated,0,547275,5134875,63900,0.0244131455399061,4.8522950237384066e-5,2.43902587890625,0.196868896484375,0.40740740299224854,1,5,0.05654999986290932,0.12049999833106996,0.11834999918937684,-0.3785093426704407,-0.32639649510383606
1168742,2021,em_veg,random_draw,0,547095,5134455,65700,0.028310502283105,0.31030187010765076,0.843292236328125,-0.24639892578125,0,0,5,0.06260000169277191,0.14869999885559082,0.2132000029087067,-0.5974289774894714,-0.4698379933834076
1168909,2021,em_veg,random_draw,0,547155,5134305,65700,0.028310502283105,0.22440087795257568,0.48956298828125,-0.600128173828125,0,0,5,0.07240000367164612,0.14339999854564667,0.26570001244544983,-0.5675733685493469,-0.4706546366214752
1169102,2021,em_veg,random_draw,0,547245,5134365,65700,0.028310502283105,0,1.130523681640625,0.04083251953125,0.20000000298023224,1,5,0.04270000010728836,0.05950000137090683,0.05590000003576279,-0.18158122897148132,0.1633780598640442
1169186,2021,em_veg,random_draw,0,547275,5134245,65700,0.028310502283105,0.2646237313747406,0.497222900390625,-0.59246826171875,0,0,5,0.08344999700784683,0.1488499939441681,0.2170500010251999,-0.4742853045463562,-0.4202166199684143
1169346,2021,em_veg,random_draw,0,547335,5134035,65700,0.028310502283105,0.03012770600616932,1.120330810546875,0.0306396484375,0,1,5,0.05510000139474869,0.09009999781847,0.1265999972820282,-0.2869269847869873,-0.1340388059616089
1169444,2021,em_veg,random_draw,0,547395,5134305,65700,0.028310502283105,0.1897832751274109,0.940673828125,-0.149017333984375,0,0,5,0.0601000003516674,0.11749999970197678,0.16689999401569366,-0.5472249388694763,-0.4450216591358185
1169526,2021,em_veg,random_draw,0,547425,5134185,65700,0.028310502283105,0.11748003214597702,1.005401611328125,-0.08428955078125,0,0,5,0.05590000003576279,0.10509999841451644,0.13940000534057617,-0.4234234094619751,-0.33926981687545776
1169544,2021,em_veg,random_draw,0,547425,5134065,65700,0.028310502283105,0.19270916283130649,0.805633544921875,-0.2840576171875,0,0.3333333432674408,5,0.07074999809265137,0.13774999976158142,0.2195499986410141,-0.5044522285461426,-0.44617223739624023
1163197,2021,deep_viz,annotated,0,544365,5124765,694800,0.00829015544041451,0,3.3870849609375,0.01995849609380684,1,1,1,0.03700000047683716,0.01820000074803829,0.01909999921917915,0.31046929955482483,0.4172932207584381
1163205,2021,dry,annotated,0,544395,5124285,694800,0.00829015544041451,0.1333262324333191,3.366729736328125,-3.967285155681566e-4,1,1,3,0.04774999991059303,0.06300000101327896,0.06084999814629555,-0.0808643028140068,-0.05048859864473343
1163318,2021,dry,annotated,0,544425,5124165,694800,0.00829015544041451,0.19651202857494351,3.001678466796875,-0.36544799804681816,0,0,5,0.07625000178813934,0.20229999721050265,0.23070000112056732,-0.48729419708251953,-0.47744107246398926
1164429,2021,em_veg,annotated,0,544695,5124945,694800,0.00829015544041451,0.1492365002632141,3.222320556640625,-0.14480590820306816,0.625,0.6666666865348816,5,0.0783500000834465,0.17315000295639038,0.18000000715255737,-0.3670312166213989,-0.26465028524398804
1164583,2021,deep_viz,annotated,0,544725,5124225,694800,0.00829015544041451,0,3.3870849609375,0.01995849609380684,1,1,1,0.03429999947547912,0.01579999923706054,0.01214999984949827,0.4603745043277741,0.5148935914039612
1164591,2021,deep_viz,annotated,0,544725,5123745,694800,0.00829015544041451,0,3.3870849609375,0.01995849609380684,1,1,1,0.03530000150203705,0.01549999974668026,0.01370000001043081,0.4408163130283356,0.4600431919097901
