spc_id,year,spc_type,selected_by,test_col,x,y,P.Sgreen,P.Snir,P.Snir.rg,N_savg,N_ctr,ovlp.area,spc.pa,dswe.area,elev.abv,postOcc,preOcc,dsweSept7
1165929,2021,deep_water,random_draw,0,545167.9412,5123318.868,0.108172790527344,0.241933081054687,0.1731051392,146.1128235,15.98237896,378,6.181818182,126000,-0.110931396,0,0.053921569,5
1165957,2021,deep_water,random_draw,0,545201.9831,5123433.725,0.0612415710449219,0.125358422851563,0.08756741028,154.7233124,17.34652328,801,4.944444444,126000,-0.002868652,0.052134831,0.018726591,5
1165569,2021,deep_water,random_draw,0,544981.9404,5123123.078,0.03296238403320312,0.03691376037597656,0.01517614746,1.671852827,1.933309317,981,6.8125,126000,0.064849854,0.99376148,1,3.706422091
1165576,2021,deep_water,random_draw,0,544989.3175,5123033.814,0.0375642333984375,0.04951970825195313,0.00123576660199999,1.663774252,5.299078465,1233,7.086206897,126000,0.064849854,0.879841805,0.958637476,4.744525433
1164644,2021,dry,annotated,0,544724.9854,5122382.345,0.0772067932128906,0.167222326660156,0.03350290527,109.3000107,296.7344971,927,4.983870968,49500,-0.057006836,0.681105316,0.390776694,3.980582476
2416684,2021,em_veg,random_draw,0,544787.549,5116514.591,0.0736524475097656,0.147997900390625,0.07718251343,62.37433243,79.66775513,1125,7.15,15300,0.064575195,0.039297659,0,5
2416703,2021,em_veg,random_draw,0,544804.5769,5116636.654,0.0597282043457031,0.119124353027344,0.0547269165,53.27215958,81.99555969,522,4.333333333,15300,0.08694458,0.096415192,0,5
2416540,2021,dry,annotated,0,544634.3534,5110425.207,0.100938793945312,0.220778442382812,0.02466292725,131.0506744,106.2917175,144,4.702702703,3600,-1.477478027,0.056913853,0.336206883,5
2416792,2021,dry,annotated,0,544865.9118,5110511.588,0.102399017333984,0.273571557617187,0.0535637207,152.9425049,119.5511475,360,5.666666667,15300,-2.263580322,0.042232282,0.026143791,5
2421622,2021,deep_water,random_draw,0,547124.4091,5110060.682,0.0714242431640625,0.136881823730469,0.04294849243,60.56938934,214.2843018,225,2.152173913,38700,0.002593994,0.483471096,0.689393938,5
2421675,2021,deep_water,random_draw,0,547149.9124,5109834.077,0.0944690734863281,0.21441650390625,0.02331650391,125.2603378,89.25953674,180,4.693548387,38700,-0.477508545,0.11782033,0.15463917,4.793814659
2421836,2021,deep_water,random_draw,0,547188.3321,5109947.805,0.0487190826416016,0.0576946594238281,0.008712976074,20.31652832,24.70783424,972,7.557692308,38700,0.024475098,0.842817485,0.868320584,3.351145029
2421861,2021,deep_water,random_draw,0,547186.26,5110127.14,0.0522840026855469,0.0800373352050781,0.01356533813,41.98301697,74.46401978,675,4.166666667,38700,0.003601074,0.838181794,1,3.853333235
2421148,2021,deep_water,random_draw,0,546966.5089,5109591.08,0.0715866088867188,0.148786608886719,0.03084821777,110.2652969,51.9887619,540,7,49500,0.649108887,0.034902599,0,5
2421483,2021,deep_water,random_draw,0,547097.0204,5109531.643,0.0876530639648437,0.231869384765625,0.03237142334,107.7260361,31.27133179,855,5.653846154,49500,-1.544952393,0,0,5
2421837,2021,deep_water,random_draw,0,547178.3625,5109441.975,0.0428037506103516,0.0756362487792969,0.01062374878,28.65565872,63.92636108,648,5,49500,0.642669678,0.722727299,0.474999994,3.200000048
2422014,2021,deep_water,random_draw,0,547226.7574,5109532.125,0.0372492645263672,0.0556360290527344,0.00141691284199999,27.40698814,12.81438255,1224,7.555555556,49500,0.644042969,0.943277299,0.77267158,3.154411793
2422028,2021,deep_water,random_draw,0,547233,5109346.765,0.0352375,0.0439698516845703,0.01604411621,16.34169006,2.036703587,1224,7.285714286,49500,0.644042969,1,1,3
2422335,2021,deep_water,random_draw,0,547304.5099,5109437.688,0.0582752502441406,0.11316435546875,0.05035742188,123.1369705,129.6871033,675,4.094594595,49500,0.623443604,0.668646932,0.712871313,4.257425785
2603107,2021,dry,annotated,0,549198.6683,5108802.787,0.0879623779296875,0.191048510742188,0.1248178223,126.7217789,63.2291832,729,3.884615385,193500,-0.172973633,0.33920446,0.799504936,4.891088963
2604489,2021,deep_water,random_draw,0,549604.0714,5108472.881,0.0711206359863281,0.162142858886719,0.04316826172,100.4644165,214.0768433,351,4.295454545,2700,-0.125518799,0.116099782,0.666666687,5
2604195,2021,dry,annotated,0,549493.875,5107931.859,0.091534375,0.2053796875,0.1225640625,131.945343,66.82575989,108,3,1800,-0.026000977,0.206770837,0.619791687,5
2603353,2021,em_veg,annotated,0,549247.9853,5107526.868,0.0605911743164063,0.127752941894531,0.1087558716,130.7353668,189.0581207,540,2.833333333,28800,0.010559082,0.456550807,0.661764681,4.544117451
2603384,2021,dry,annotated,0,549281.3738,5107460.607,0.105314562988281,0.234610668945312,0.107929126,132.3943024,60.82865524,306,4.681818182,28800,-0.182159424,0.26372847,0.676375449,4.815533638
2603649,2021,em_veg,annotated,0,549338.9375,5107604,0.0535760437011719,0.109736462402344,0.1118895813,141.8994904,155.0843964,657,4.114285714,28800,0.047180176,0.586567998,0.920138896,4.28125
2603784,2021,em_veg,annotated,0,549366.1615,5107520.331,0.0498369232177734,0.0998123046875,0.0820230835,124.4057083,211.8890533,558,3.362068966,28800,0.018890381,0.621093094,0.938461542,4.415384769
2603925,2021,dry,annotated,0,549422.6563,5107598.875,0.10759375,0.239919799804688,0.10365625,134.4152069,55.04520035,162,4.965517241,28800,-0.087890625,0.175328955,0.333333343,5
2604461,2021,dry,annotated,0,549590.3878,5105928.429,0.0731755126953125,0.152110205078125,0.003757141113,124.4150314,42.04262161,243,6.391304348,577800,-0.601501465,0.004676871,0.084183671,5
2604471,2021,dry,annotated,0,549600.3629,5106078.75,0.0620459655761719,0.120225,0.07862015991,123.1584702,181.7440643,981,4.133333333,577800,0.053741455,0.539798915,0.680107534,4.967741966
2605300,2021,dry,annotated,0,549799.6778,5106021.878,0.0736,0.149031115722656,0.03491704102,97.83518219,64.29689026,297,6.532258065,577800,-0.303436279,0.010758378,0.037037037,5
2604836,2021,dry,annotated,0,549694.452,5105236.572,0.0597159973144531,0.126690405273438,0.07513840332,122.2099762,50.38747406,936,3.75,4500,0.012664795,0.027827432,0.639999986,5
2605039,2021,em_veg,annotated,0,549733.3393,5104736.196,0.0710803588867188,0.150553576660156,0.05235178833,138.2674103,105.453537,279,2.8,15300,0.027557373,0.27879563,0.59523809,5
2605302,2021,em_veg,annotated,0,549795.7689,5104670.735,0.0506747894287109,0.0905470581054688,0.03705882568,102.8614502,152.4347992,1071,5.758064516,15300,0.064941406,0.440476179,0.333333373,4.932773113
2603918,2021,dry,annotated,0,549411.5471,5103712.924,0.0834729431152344,0.170196472167969,0.1373352966,153.7668152,114.1653976,765,5.1,14400,0.065063477,0.295294136,0.535294116,5
2604816,2021,em_veg,annotated,0,549689.6209,5101343.753,0.0459780212402344,0.0892384643554688,0.00695164794899999,140.1236267,41.01182175,594,4.403225806,27900,0.10333252,0.751551867,0.9313187,3.967032909
2605317,2021,em_veg,annotated,0,549797.5588,5101305.971,0.0723794128417969,0.156970593261719,0.03691470947,126.4323425,206.8553772,297,2.04,27900,0.070129395,0.525445104,0.727941155,3.882352829
2605627,2021,em_veg,annotated,0,549876.7174,5101308.717,0.037022607421875,0.0595095642089844,0.02391825867,26.07095528,28.36254692,1035,6.160714286,27900,0.103363037,0.913291931,0.608695626,3.156521797
2604381,2021,dry,annotated,0,549569.5345,5100901.733,0.100937933349609,0.235376733398438,0.04583103027,125.6668091,80.74901581,432,5.4375,4500,-0.309356689,0.141379297,0.297413796,5
2604474,2021,dry,annotated,0,549601.55,5100962,0.0781533325195312,0.169494995117187,0.07528833008,133.025177,114.1841202,468,2.903225806,4500,-0.031738281,0.30455476,0.449999988,5
2604536,2021,deep_water,random_draw,0,549626.1667,5100293.625,0.0671388916015625,0.135918054199219,0.053175,100.5826874,301.2935791,648,3,17100,-0.008056641,0.730676293,0.754629612,3.569444418
2604968,2021,deep_water,random_draw,0,549728.8548,5100318.113,0.0798247314453125,0.167172045898438,0.1086193481,126.5903244,231.9654388,639,3.985714286,17100,-0.0206604,0.485407084,0.384408593,4.913978577
2603945,2021,em_veg,annotated,0,549423.7692,5100105.731,0.0850358947753906,0.186707690429687,0.09927051392,120.0585785,171.0868835,702,4.034482759,7200,-0.015991211,0.207459211,0.391025633,5
2604146,2021,em_veg,annotated,0,549485.9545,5100071.455,0.0927348510742188,0.21575,0.09661970215,129.0158539,133.3825073,333,3.413793103,7200,-0.033905029,0.124775425,0.140151516,5
2604857,2021,deep_water,random_draw,0,549694.6053,5099507.816,0.0408052642822266,0.0689938598632813,0.01171929321,21.56985664,20.7786274,1026,5.896551724,19800,0.039642334,0.826754391,0.852192998,3.394736767
2604940,2021,deep_water,random_draw,0,549721.4167,5099632.417,0.0937,0.223763891601562,0.0889833252,134.4757385,76.35497284,153,2.16,19800,-0.083953857,0.583918154,0.118055552,4.527777672
2604791,2021,deep_water,random_draw,0,549664.0833,5099236.667,0.0833277770996094,0.176738891601563,0.0445,118.6482773,88.35201263,180,2,220500,-0.019775391,0.514550269,0.533333361,3.694444418
2604881,2021,deep_water,random_draw,0,549698.8846,5099361.346,0.0871692321777344,0.196961535644531,0.076948718260000007,105.8396683,148.874054,189,1.828125,220500,-0.024658203,0.345543355,0.215384617,4.923077106
2605371,2021,deep_water,random_draw,0,549810.0135,5099359.095,0.0459423431396484,0.044618017578125,0.01730360413,11.31182194,7.49122858,999,6.66,220500,0.058746338,1,0.980180204,3
2605373,2021,deep_water,random_draw,0,549812.2826,5099241.815,0.0506163055419922,0.0663554321289063,0.0244206543,53.22320938,30.23794937,828,5.75,220500,0.058776855,1,1,3.423913002
2605845,2021,deep_water,random_draw,0,549932.4894,5099481.255,0.0502840423583984,0.0788712768554688,0.01808404541,46.20550537,46.65885162,549,5.222222222,220500,0.057373047,0.74873358,0.808510661,3.382978678
2605874,2021,deep_water,random_draw,0,549936.3722,5099324.177,0.0436909759521484,0.0448503753662109,0.01676315613,14.77330685,12.82892513,1197,7.98,220500,0.058776855,1,1,2.413533926
2606045,2021,deep_water,random_draw,0,549961.9118,5099666.971,0.0616784301757813,0.115186279296875,0.005666662598,70.10800171,104.3732605,261,2.833333333,220500,0.025878906,0.525880098,0.30392158,4.215686321
2606270,2021,deep_water,random_draw,0,550020.1337,5099538.401,0.042553466796875,0.0399514862060547,0.02122970276,14.32811069,7.433506966,909,6.886363636,220500,0.058776855,1,1,1.425742626
2606398,2021,deep_water,random_draw,0,550062,5099419.588,0.0865676452636719,0.175555883789063,0.01298236084,111.8939743,77.35334015,288,1.821428571,220500,0.017791748,0.567736208,0.623529434,4.735294342
2606414,2021,deep_water,random_draw,0,550057.5,5099657.439,0.114059997558594,0.243532177734375,0.04213913574,150.65448,39.29711151,342,6.388888889,220500,0.058776855,0.771777272,0.899999976,4.008695602
2604161,2021,dry,annotated,0,549492.4655,5097267.672,0.103026721191406,0.224828442382812,0.02151379395,118.0743256,53.37085724,252,6,162000,-0.608184814,0.167725354,0.314655185,4.63793087
2604411,2021,dry,annotated,0,549577.7673,5097936.104,0.102484155273438,0.232305932617187,0.09780692139,125.644989,34.78773499,108,5.611111111,162000,-0.376403809,0.005657709,0.170792073,5
2605081,2021,dry,annotated,0,549745.8974,5097418.063,0.0919245056152344,0.217284765625,0.06936489258,146.5642853,50.89376831,1359,7.55,162000,0.029571533,0.274135381,1,4.834436893
2604562,2021,em_veg,annotated,0,549619.98,5095954.38,0.0791080017089844,0.140171997070312,0.08734133301,144.2574921,121.5740356,612,3.040540541,8100,0.012023926,0.238187149,0.703333318,4.413333416
2604648,2021,dry,annotated,0,549650.4565,5096005.152,0.109311596679687,0.248930444335938,0.1158913086,120.4581528,88.14242554,423,3.833333333,8100,-0.13394165,0.092615604,0.445652187,4.86956501
2602718,2021,em_veg,annotated,0,549097.2065,5095888.533,0.0556260864257812,0.111925,0.05767608643,136.9656677,119.4839172,657,4.181818182,5400,0.053405762,0.558626652,0.570652187,4.206521511
2602609,2021,em_veg,annotated,0,549074.8388,5095417.897,0.0527842956542969,0.0916165283203125,0.0920413208,110.5927505,165.7640686,1089,4.5375,351900,0.036712646,0.857438028,1,3.471074343
2602772,2021,dry,annotated,0,549122.0172,5095344.741,0.118451721191406,0.279340234375,0.09900230713,130.5886383,41.46131516,180,3.182926829,351900,-0.234161377,0.091954023,0.844827592,5
2602840,2021,em_veg,annotated,0,549124.0052,5095520.459,0.0426608245849609,0.0564958740234375,0.04540927429,48.82910156,87.85593414,873,5.82,351900,0.040100098,0.972999454,1,3.10309267
2603369,2021,dry,annotated,0,549264.5625,5095475.25,0.10185,0.223741259765625,0.04645373535,130.3398438,57.57396317,126,5.454545455,351900,-0.312103271,0.119155839,0.125,5
2603567,2021,em_veg,annotated,0,549313.3824,5095376.088,0.0620411743164063,0.127654907226563,0.1124823486,118.5150909,136.1919861,459,2.55,351900,0.022613525,0.560606062,0.576470613,4.372549057
9283807,2021,dry,annotated,0,548892.2432,5095423.297,0.117489184570313,0.26640810546875,0.0301567627,150.8188019,52.34223175,153,4.269230769,351900,-0.40234375,0.103129447,0.05810811,5
2605940,2021,deep_water,random_draw,0,549960.3832,5095323.296,0.118164965820312,0.247294897460937,0.1372642334,104.959404,30.002231599999998,432,5.554054054,23400,-0.121826172,0.082438812,0.481751829,5
2606356,2021,deep_water,random_draw,0,550040.5615,5095230.577,0.102770764160156,0.190423071289062,0.0806215332,105.6298294,102.9725113,225,2.785714286,23400,-0.005493164,0.331749082,0.733333349,4.430769444
